run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,workflow_mode,agent,step_count,success_rate,avg_step_latency_ms,p50_step_latency_ms,p95_step_latency_ms,avg_tokens_per_second
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,sequential,planner,2,1.0,6218.65725889802,6218.65725889802,6969.183721765876,111.72655976644951
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,sequential,reviewer,2,1.0,5442.992061376572,5442.992061376572,5446.299198269844,146.6182958370473
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,sequential,architect,2,1.0,13676.819646731019,13676.819646731019,13682.74346459657,53.95897556114249
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,sequential,coder,2,1.0,13676.43191292882,13676.43191292882,13682.090508937836,51.87544253062153
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,sequential,evaluator,2,1.0,13675.464499741793,13675.464499741793,13683.115440607071,56.85241665414091
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,sequential,planner,2,1.0,14044.122748076916,14044.122748076916,14620.383224636316,47.37262613340692
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,sequential,reviewer,2,1.0,13676.013803109527,13676.013803109527,13680.378617160022,57.50918262552419
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,sequential,architect,2,1.0,13929.746912792325,13929.746912792325,13931.649113632739,51.93965963409709
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,sequential,coder,2,1.0,13932.423671707511,13932.423671707511,13937.82750312239,55.806620228508336
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,sequential,evaluator,2,1.0,13946.616631001234,13946.616631001234,13957.761474326253,46.89968802892832
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,sequential,planner,2,1.0,14594.28876079619,14594.28876079619,15436.861524172127,45.70576705698879
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,sequential,reviewer,2,1.0,13949.618227779865,13949.618227779865,13958.736595138907,57.88798673918231
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,sequential,architect,2,1.0,30046.714974567294,30046.714974567294,30050.683163665235,24.545091074623905
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,sequential,coder,2,1.0,30059.546241536736,30059.546241536736,30065.207571722567,23.935814327704612
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,sequential,evaluator,2,1.0,11739.505752921104,11739.505752921104,14363.1427526474,28.938803388670735
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,sequential,planner,2,1.0,30819.446360692382,30819.446360692382,31727.626177854836,22.97801912401166
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,sequential,reviewer,2,1.0,30064.23126347363,30064.23126347363,30070.94454932958,26.027464311453468
