run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,run_type,category,request_count,success_rate,error_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,agent_sequential_detail,multi_agent,10,1.0,0,13749.770522117615,13676.013803109527,14234.211186878381,221.71401046216488,53.51372870096721,635.3,735.6,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,architecture,1,1.0,0,9879.71742078662,9879.71742078662,9879.71742078662,38.6226549744606,52.8355192529827,31.0,522.0,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,classification,1,1.0,0,56.203145533800125,56.203145533800125,56.203145533800125,38.19439932703972,17.79259844804608,39.0,1.0,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,coding,1,1.0,0,6104.229059070349,6104.229059070349,6104.229059070349,825.9829394519329,41.1190336357113,27.0,251.0,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,debugging,1,1.0,0,7403.523229062557,7403.523229062557,7403.523229062557,41.27971455454826,49.435922421809344,29.0,366.0,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,function_calling,2,1.0,0,1770.0369227677584,1770.0369227677584,2454.826937057078,546.4846137911081,24.443806627310252,34.0,40.0,1.0,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,json_extraction,1,1.0,0,2148.136258125305,2148.136258125305,2148.136258125305,1391.5558122098446,13.034554905020697,35.0,28.0,1.0,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,rag,2,1.0,0,1011.936055496335,1011.936055496335,1376.4746518805623,554.2278382927179,31.89145612926427,51.0,24.5,,0.0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,batch,summarization,1,1.0,0,1415.0897301733494,1415.0897301733494,1415.0897301733494,36.03201359510422,57.24018645098742,46.0,81.0,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrency_detail,classification,33,1.0,0,96.94706411524253,83.74538645148277,149.12483021616936,75.58045987830018,11.238359653881059,39.0,1.0,,
