model,engine,gpu_name,category,concurrency,count,success_rate,avg_latency_ms,p50_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
Qwen/Qwen3-4B,sglang,A100_80GB,summarization,10,16,1.0,736.5729731973261,754.3723564594984,66.9584081042558,91.01525845760736,46.0,66.25,,
Qwen/Qwen3-4B,vllm,A100_80GB,classification,1,3,1.0,54.43123603860537,54.29697036743164,46.67772725224495,18.374988416545232,39.0,1.0,,
Qwen/Qwen3-4B,vllm,A100_80GB,classification,3,5,1.0,76.80790275335312,66.08909368515015,69.46122199296951,14.055195211902893,39.0,1.0,,
Qwen/Qwen3-4B,vllm,A100_80GB,classification,5,8,1.0,92.0497514307499,74.46439564228058,78.52820726111531,13.344791289247015,39.0,1.0,,
Qwen/Qwen3-4B,vllm,A100_80GB,classification,10,17,1.0,96.41386787681019,82.56155997514725,85.49728485591271,13.218749481456546,39.0,1.0,,
Qwen/Qwen3-4B,vllm,A100_80GB,json_extraction,1,4,1.0,760.6649892404675,353.44898886978626,451.5748582780361,63.12529309888684,35.0,28.0,1.0,
Qwen/Qwen3-4B,vllm,A100_80GB,json_extraction,3,5,1.0,675.110500305891,381.18976354599,355.1994137465954,61.97925581750771,35.0,28.0,1.0,
Qwen/Qwen3-4B,vllm,A100_80GB,json_extraction,5,9,1.0,587.2018833955129,369.4843798875809,269.81469533509676,66.6918461530625,35.0,28.0,1.0,
Qwen/Qwen3-4B,vllm,A100_80GB,json_extraction,10,17,1.0,535.6677047470037,412.03034296631813,200.9997267056914,63.61529897503048,35.0,28.0,1.0,
Qwen/Qwen3-4B,vllm,A100_80GB,summarization,1,3,1.0,535.2095142006874,535.5942286550999,45.861370861530304,125.18490585408165,46.0,67.0,,
Qwen/Qwen3-4B,vllm,A100_80GB,summarization,3,5,1.0,570.5249674618244,553.2061532139778,66.77405461668968,117.78550646623471,46.0,67.0,,
Qwen/Qwen3-4B,vllm,A100_80GB,summarization,5,8,1.0,578.4038258716464,561.0552113503218,71.86524895951152,116.0836136578052,46.0,66.875,,
Qwen/Qwen3-4B,vllm,A100_80GB,summarization,10,16,1.0,612.6920250244439,596.1521975696087,90.23137204349041,110.61633939709813,46.0,67.0,,
